image_idx,DSC_metric,NSD_metric,modality
647,0.795782,0.460784,CT
648,0.982444,0.873016,CT
649,0.922863,0.618978,CT
650,0.962927,0.89648,CT
651,0.847261,0.514563,CT
652,0.979302,0.868897,CT
653,0.958472,0.945233,CT
654,0.986559,1.0,CT
655,0.957692,0.984848,CT
656,0.988285,0.962279,CT
657,0.918631,0.729765,CT
658,0.971653,0.945776,CT
659,0.92529,0.414655,CT
660,0.89108,0.375355,CT
661,0.928048,0.081858,CT
662,0.974334,0.76491,CT
663,0.909921,0.745882,CT
664,0.978667,0.989492,CT
665,0.925373,0.742222,CT
666,0.973751,0.89417,CT
667,0.840618,0.628319,CT
668,0.980562,1.0,CT
669,0.97599,0.922201,CT
670,0.884055,0.613811,CT
671,0.970319,0.81207,CT
672,0.949368,0.632399,CT
673,0.980112,0.856327,CT
674,0.910758,0.773381,CT
675,0.947643,0.857143,CT
676,0.976291,0.983083,CT
677,0.916846,0.778055,CT
678,0.871324,0.552147,CT
679,0.805939,0.360157,CT
680,0.88982,0.15589,CT
681,0.934433,0.113695,CT
682,0.984297,0.909787,CT
683,0.887036,0.806338,CT
684,0.986113,1.0,CT
685,0.971198,0.814897,CT
686,0.945656,0.910714,CT
687,0.965338,0.974522,CT
688,0.982487,0.888136,CT
689,0.985893,0.917582,CT
690,0.992272,0.995721,CT
691,0.990393,0.952321,CT
692,0.989992,0.963194,CT
693,0.819611,0.757009,CT
694,0.97592,0.93356,CT
695,0.894888,0.582057,CT
696,0.909252,0.814685,CT
697,0.99131,0.967357,CT
698,0.97973,0.857011,CT
699,0.983052,0.892527,CT
700,0.985225,0.901263,CT
701,0.976633,0.878763,CT
702,0.932192,0.79927,CT
703,0.97785,0.814869,CT
704,0.911549,0.301024,CT
705,0.920808,0.198779,CT
706,0.927299,0.367418,CT
707,0.99048,0.909311,CT
708,0.979637,0.852174,CT
709,0.980096,0.919534,CT
710,0.98473,0.993888,CT
711,0.989559,0.977057,CT
712,0.991095,0.985171,CT
713,0.982315,0.90352,CT
714,0.97241,0.902857,CT
715,0.97737,0.771447,CT
716,0.868643,0.400447,CT
717,0.970955,0.727811,CT
718,0.985327,0.951351,CT
719,0.98365,0.958641,CT
720,0.625348,0.189085,CT
721,0.654612,0.269113,CT
722,0.826524,0.031987,CT
723,0.985831,0.887478,CT
724,0.935457,0.854911,CT
725,0.987891,1.0,CT
726,0.718921,0.087591,CT
727,0.966118,0.810256,CT
728,0.971731,0.810517,CT
729,0.96662,0.908,CT
730,0.963867,0.850904,CT
731,0.741907,0.461538,CT
732,0.849235,0.104323,CT
733,0.790235,0.268859,CT
734,0.886475,0.166857,CT
735,0.983078,0.889913,CT
736,0.739441,0.316532,CT
737,0.963526,0.824534,CT
738,0.977645,0.882273,CT
739,0.940947,0.909231,CT
740,0.954802,0.929766,CT
741,0.957983,0.993976,CT
742,0.988746,0.987676,CT
743,0.945783,0.969432,CT
744,0.978909,0.87819,CT
745,0.988439,0.992107,CT
746,0.990743,0.963,CT
747,0.989367,0.902706,CT
748,0.980988,0.872159,CT
749,0.987417,0.945133,CT
750,0.945382,0.84273,CT
751,0.983571,0.970964,CT
752,0.970012,0.898021,CT
753,0.802009,0.678571,CT
754,0.957381,0.825436,CT
755,0.813008,0.519651,CT
756,0.932251,0.732634,CT
757,0.929371,0.68319,CT
758,0.959471,0.870542,CT
759,0.918149,0.818182,CT
760,0.984957,0.964674,CT
761,0.987117,0.952612,CT
762,0.965727,0.875,CT
763,0.987728,0.94518,CT
764,0.990215,0.997677,CT
765,0.991603,0.976005,CT
766,0.992385,1.0,CT
767,0.990803,0.963415,CT
768,0.946787,0.859527,CT
769,0.986788,1.0,CT
770,0.980224,0.929936,CT
771,0.938844,0.99734,CT
772,0.984621,1.0,CT
773,0.987962,0.91689,CT
774,0.987496,0.959267,CT
775,0.94995,0.79059,CT
776,0.90122,0.8,CT
777,0.976628,0.993068,CT
778,0.927188,0.780877,CT
779,0.986925,0.959589,CT
780,0.910863,0.842105,CT
781,0.959976,0.799368,CT
782,0.776454,0.376906,CT
783,0.960262,0.884984,CT
784,0.984782,0.940199,CT
785,0.916534,0.793594,CT
786,0.977844,0.839496,CT
787,0.802183,0.076677,CT
788,0.98135,0.89965,CT
789,0.871216,0.619946,CT
790,0.938035,0.784679,CT
791,0.876968,0.505976,CT
792,0.959482,0.77756,CT
793,0.903789,0.834034,CT
794,0.969146,0.913732,CT
795,0.893654,0.144254,CT
796,0.613285,0.177024,CT
797,0.961365,0.549315,CT
798,0.976938,0.871622,CT
799,0.986715,0.992334,CT
800,0.989997,0.925208,CT
801,0.98031,0.844305,CT
802,0.988208,0.861323,CT
803,0.976512,0.937129,CT
804,0.985682,0.976542,CT
805,0.947148,0.834951,CT
806,0.979174,0.818412,CT
807,0.886275,0.3375,CT
808,0.980032,0.852908,CT
809,0.950207,0.856083,CT
810,0.973409,0.884135,CT
811,0.67252,0.160592,CT
812,0.84773,0.273047,CT
813,0.748795,0.257039,CT
814,0.937197,0.128878,CT
815,0.878148,0.129443,CT
816,0.697218,0.161868,CT
817,0.876947,0.058632,CT
818,0.987694,0.939768,CT
819,0.977257,0.926621,CT
820,0.843525,0.475269,CT
821,0.906759,0.781879,CT
822,0.991026,0.960129,CT
823,0.986519,0.984632,CT
824,0.983057,0.98065,CT
825,0.920774,0.798834,CT
826,0.985764,1.0,CT
827,0.972057,1.0,CT
828,0.984381,0.915184,CT
829,0.989908,0.958333,CT
830,0.980447,0.929508,CT
831,0.984309,1.0,CT
832,0.99005,0.965868,CT
833,0.988838,0.990058,CT
834,0.971177,0.852075,CT
835,0.989871,0.994498,CT
836,0.932019,0.68686,CT
837,0.896539,0.713656,CT
838,0.964959,0.960784,CT
839,0.986684,0.938404,CT
840,0.986645,0.997942,CT
841,0.988109,0.909953,CT
842,0.963626,0.68254,CT
